Date,Price,Open,High,Low,Vol.,Change %,Ticker,Unnamed: 7,Unnamed: 8
2022-12-13,7.35,7.3,7.35,7.25,3.04M,0.68%,UBA,,
2022-12-12,7.3,7.4,7.35,7.3,1.84M,-1.35%,UBA,,
2022-12-09,7.4,7.3,7.4,7.35,1.56M,1.37%,UBA,,
2022-12-08,7.3,7.25,7.3,7.25,2.29M,0.69%,UBA,,
2022-12-07,7.25,7.3,7.3,7.25,6.92M,-0.68%,UBA,,
2022-12-06,7.3,7.25,7.3,7.3,620.59K,0.69%,UBA,,
2022-12-05,7.25,7.3,7.35,7.25,6.43M,-0.68%,UBA,,
2022-12-02,7.3,7.55,7.35,7.3,3.44M,-3.31%,UBA,,
2022-12-01,7.55,7.25,7.55,7.3,10.77M,4.14%,UBA,,
2022-11-30,7.25,7.2,7.25,7.2,4.62M,0.69%,UBA,,
2022-11-29,7.2,7.25,7.25,7.2,3.39M,-0.69%,UBA,,
2022-11-28,7.25,7.3,7.3,7.25,22.93M,-0.68%,UBA,,
2022-11-25,7.3,7.2,7.3,7.3,2.23M,1.39%,UBA,,
2022-11-24,7.2,7.4,7.45,7.2,4.01M,-2.70%,UBA,,
2022-11-23,7.4,7.3,7.4,7.3,4.16M,1.37%,UBA,,
2022-11-22,7.3,7.25,7.35,7.3,3.42M,0.69%,UBA,,
2022-11-21,7.25,7.15,7.25,7.15,3.79M,1.40%,UBA,,
2022-11-18,7.15,7.2,7.2,7.15,4.67M,-0.69%,UBA,,
2022-11-17,7.2,7.2,7.2,7.1,3.02M,0.00%,UBA,,
2022-11-16,7.2,7.05,7.2,7.15,4.09M,2.13%,UBA,,
2022-11-15,7.05,7.05,7.05,7.0,1.14M,0.00%,UBA,,
2022-11-14,7.05,7.2,7.05,7.0,1.05M,-2.08%,UBA,,
2022-11-11,7.2,7.1,7.2,7.05,7.32M,1.41%,UBA,,
2022-11-10,7.1,7.1,7.1,7.0,5.24M,0.00%,UBA,,
2022-11-09,7.1,7.0,7.1,6.95,9.85M,1.43%,UBA,,
2022-11-08,7.0,7.0,7.0,6.95,2.59M,0.00%,UBA,,
2022-11-07,7.0,7.0,7.05,7.05,2.59M,0.00%,UBA,,
2022-11-04,7.0,6.8,7.0,7.0,7.79M,2.94%,UBA,,
2022-11-03,6.8,6.75,6.9,6.8,5.49M,0.74%,UBA,,
2022-11-02,6.75,7.1,7.05,6.75,7.75M,-4.93%,UBA,,
2022-11-01,7.1,7.15,7.1,7.05,13.58M,-0.70%,UBA,,
2022-10-31,7.15,7.1,7.2,7.05,4.42M,0.70%,UBA,,
2022-10-28,7.1,7.15,7.15,7.1,1.84M,-0.70%,UBA,,
2022-10-27,7.15,7.05,7.15,7.1,3.84M,1.42%,UBA,,
2022-10-26,7.05,7.0,7.05,7.05,1.70M,0.71%,UBA,,
2022-10-25,7.0,7.0,7.15,7.0,2.75M,0.00%,UBA,,
2022-10-24,7.0,7.0,7.0,7.0,2.99M,0.00%,UBA,,
2022-10-21,7.0,7.0,7.0,7.0,929.88K,0.00%,UBA,,
2022-10-20,7.0,7.0,7.05,7.0,1.81M,0.00%,UBA,,
2022-10-19,7.0,7.05,7.05,7.0,4.06M,-0.71%,UBA,,
2022-10-18,7.05,6.9,7.15,6.95,4.68M,2.17%,UBA,,
2022-10-17,6.9,6.9,6.95,6.85,6.53M,0.00%,UBA,,
2022-10-14,6.9,7.0,6.9,6.85,3.92M,-1.43%,UBA,,
2022-10-13,7.0,6.9,7.0,6.95,4.47M,1.45%,UBA,,
2022-10-12,6.9,7.0,6.9,6.9,2.92M,-1.43%,UBA,,
2022-10-11,7.0,6.75,7.0,6.85,2.41M,3.70%,UBA,,
2022-10-07,6.75,6.75,6.75,6.6,4.77M,3.05%,UBA,,
2022-10-06,6.55,6.8,6.9,6.55,3.46M,-3.68%,UBA,,
2022-10-05,6.8,6.75,6.85,6.75,4.74M,0.74%,UBA,,
2022-10-04,6.75,7.0,6.95,6.75,10.67M,-3.57%,UBA,,
2022-09-30,7.0,6.95,7.0,6.95,6.36M,0.72%,UBA,,
2022-09-29,6.95,7.1,7.1,6.95,3.01M,-2.11%,UBA,,
2022-09-28,7.1,7.1,7.1,7.1,4.65M,0.00%,UBA,,
2022-09-27,7.1,7.2,7.25,7.1,6.47M,-1.39%,UBA,,
2022-09-26,7.2,7.3,7.35,7.2,5.88M,-1.37%,UBA,,
2022-09-23,7.3,7.2,7.3,7.1,4.54M,-1.35%,UBA,,
2022-09-22,7.4,7.35,7.4,7.3,4.84M,0.68%,UBA,,
2022-09-21,7.35,7.25,7.35,7.3,1.76M,1.38%,UBA,,
2022-09-20,7.25,7.25,7.3,7.2,3.71M,0.00%,UBA,,
2022-09-19,7.25,7.1,7.4,7.25,2.71M,2.11%,UBA,,
2022-09-16,7.1,7.45,7.5,7.1,9.07M,-4.70%,UBA,,
2022-09-15,7.45,7.4,7.45,7.4,3.70M,0.68%,UBA,,
2022-09-14,7.4,7.5,7.4,7.4,2.05M,-1.33%,UBA,,
2022-09-13,7.5,7.5,7.55,7.3,5.58M,0.00%,UBA,,
2022-09-12,7.5,7.55,7.55,7.5,5.23M,-0.66%,UBA,,
2022-09-09,7.55,7.3,7.55,7.35,54.07M,3.42%,UBA,,
2022-09-08,7.3,7.2,7.3,7.15,9.40M,1.39%,UBA,,
2022-09-07,7.2,7.15,7.2,7.1,2.80M,0.70%,UBA,,
2022-09-06,7.15,7.15,7.15,7.1,7.72M,0.00%,UBA,,
2022-09-05,7.15,7.25,7.3,7.15,10.65M,-1.38%,UBA,,
2022-09-02,7.25,7.3,7.35,7.25,7.12M,-0.68%,UBA,,
2022-09-01,7.3,7.25,7.35,7.25,7.35M,1.39%,UBA,,
2022-08-31,7.2,7.2,7.25,7.15,26.58M,0.00%,UBA,,
2022-08-30,7.2,7.2,7.2,7.15,5.90M,0.00%,UBA,,
2022-08-29,7.2,7.15,7.2,7.1,9.89M,0.70%,UBA,,
2022-08-26,7.15,7.1,7.2,7.1,7.00M,0.70%,UBA,,
2022-08-25,7.1,7.0,7.15,7.0,15.25M,1.43%,UBA,,
2022-08-24,7.0,7.05,7.05,7.0,22.95M,-0.71%,UBA,,
2022-08-23,7.05,7.05,7.1,7.05,11.17M,0.00%,UBA,,
2022-08-22,7.05,7.1,7.05,7.05,2.88M,-0.70%,UBA,,
2022-08-19,7.1,7.0,7.1,7.05,9.28M,1.43%,UBA,,
2022-08-18,7.0,6.95,7.05,7.0,13.02M,0.72%,UBA,,
2022-08-17,6.95,7.0,7.0,6.95,11.17M,-0.71%,UBA,,
2022-08-16,7.0,7.0,7.0,7.0,20.53M,0.00%,UBA,,
2022-08-15,7.0,7.05,7.05,7.0,21.90M,-0.71%,UBA,,
2022-08-12,7.05,7.0,7.05,7.0,13.20M,0.71%,UBA,,
2022-08-11,7.0,7.2,7.15,7.0,20.45M,-2.78%,UBA,,
2022-08-10,7.2,7.2,7.2,7.1,14.66M,0.00%,UBA,,
2022-08-09,7.2,7.25,7.25,7.15,6.15M,-0.69%,UBA,,
2022-08-08,7.25,7.25,7.25,7.2,3.87M,0.00%,UBA,,
2022-08-05,7.25,7.25,7.25,7.25,2.19M,0.00%,UBA,,
2022-08-04,7.25,7.0,7.25,7.05,5.19M,3.57%,UBA,,
2022-08-03,7.0,7.05,7.1,7.0,6.81M,-0.71%,UBA,,
2022-08-02,7.05,7.2,7.2,7.05,5.95M,-2.08%,UBA,,
2022-08-01,7.2,7.2,7.3,7.0,14.26M,0.00%,UBA,,
2022-07-29,7.2,6.8,7.25,6.7,15.56M,5.88%,UBA,,
2022-07-28,6.8,7.0,7.0,6.8,12.56M,-2.86%,UBA,,
2022-07-27,7.0,7.0,7.05,6.8,13.20M,0.00%,UBA,,
2022-07-26,7.0,7.1,7.3,7.0,6.21M,-1.41%,UBA,,
2022-07-25,7.1,7.3,7.3,7.1,15.85M,-2.74%,UBA,,
2022-07-22,7.3,7.35,7.35,7.3,63.74M,-0.68%,UBA,,
2022-07-21,7.35,7.4,7.5,7.35,14.24M,-0.68%,UBA,,
2022-07-20,7.4,7.5,7.5,7.4,26.71M,-1.33%,UBA,,
2022-07-19,7.5,7.45,7.5,7.45,74.28M,0.67%,UBA,,
2022-07-18,7.45,7.4,7.6,7.45,12.93M,0.68%,UBA,,
2022-07-15,7.4,7.5,7.5,7.4,14.71M,-1.33%,UBA,,
2022-07-14,7.5,7.5,7.5,7.5,4.65M,0.00%,UBA,,
2022-07-13,7.5,7.55,7.55,7.45,19.65M,-0.66%,UBA,,
2022-07-08,7.55,7.45,7.6,7.5,14.33M,1.34%,UBA,,
2022-07-07,7.45,7.5,7.5,7.45,6.87M,-0.67%,UBA,,
2022-07-06,7.5,7.45,7.55,7.45,10.55M,0.67%,UBA,,
2022-07-05,7.45,7.45,7.5,7.4,25.40M,0.00%,UBA,,
2022-07-04,7.45,7.4,7.6,7.4,17.59M,0.68%,UBA,,
2022-07-01,7.4,7.45,7.55,7.4,22.20M,-0.67%,UBA,,
2022-06-30,7.45,7.45,7.45,7.45,17.50M,0.00%,UBA,,
2022-06-29,7.45,7.5,7.55,7.45,23.99M,-0.67%,UBA,,
2022-06-28,7.5,7.4,7.5,7.4,16.12M,1.35%,UBA,,
2022-06-27,7.4,7.45,7.5,7.4,20.61M,-0.67%,UBA,,
2022-06-24,7.45,7.45,7.5,7.45,8.89M,0.00%,UBA,,
2022-06-23,7.45,7.5,7.55,7.45,6.21M,-0.67%,UBA,,
2022-06-22,7.5,7.5,7.5,7.45,26.02M,0.00%,UBA,,
2022-06-21,7.5,7.5,7.55,7.45,17.59M,0.00%,UBA,,
2022-06-20,7.5,7.5,7.5,7.45,29.50M,0.00%,UBA,,
2022-06-17,7.5,7.55,7.6,7.5,35.72M,-0.66%,UBA,,
2022-06-16,7.55,7.6,7.65,7.55,17.33M,-0.66%,UBA,,
2022-06-15,7.6,7.65,7.7,7.6,36.42M,-0.65%,UBA,,
2022-06-14,7.65,7.7,7.7,7.65,47.73M,-0.65%,UBA,,
2022-06-10,7.7,7.7,7.8,7.6,10.04M,0.00%,UBA,,
2022-06-09,7.7,7.8,7.85,7.7,19.10M,-1.28%,UBA,,
2022-06-08,7.8,7.85,7.85,7.8,6.95M,-0.64%,UBA,,
2022-06-07,7.85,7.8,7.9,7.8,25.80M,0.64%,UBA,,
2022-06-06,7.8,7.75,7.9,7.8,2.30M,0.65%,UBA,,
2022-06-03,7.75,7.75,7.85,7.75,3.30M,0.00%,UBA,,
2022-06-02,7.75,7.9,7.9,7.75,12.48M,-1.90%,UBA,,
2022-06-01,7.9,7.75,8.0,7.9,2.50M,1.94%,UBA,,
2022-05-31,7.75,7.9,7.95,7.75,4.10M,-1.90%,UBA,,
2022-05-30,7.9,7.95,8.0,7.9,2.36M,-0.63%,UBA,,
2022-05-27,7.95,7.9,8.0,7.85,4.10M,0.63%,UBA,,
2022-05-26,7.9,7.65,7.9,7.65,5.66M,3.27%,UBA,,
2022-05-25,7.65,7.95,7.95,7.6,31.85M,-3.77%,UBA,,
2022-05-24,7.95,7.95,8.0,7.9,3.90M,0.00%,UBA,,
2022-05-23,7.95,7.9,8.0,7.9,8.24M,0.63%,UBA,,
2022-05-20,7.9,7.95,7.95,7.9,11.11M,-0.63%,UBA,,
2022-05-19,7.95,7.9,8.0,7.9,12.28M,0.63%,UBA,,
2022-05-18,7.9,7.9,7.95,7.9,9.57M,0.00%,UBA,,
2022-05-17,7.9,7.9,7.95,7.9,10.26M,0.00%,UBA,,
2022-05-16,7.9,8.0,8.0,7.9,8.26M,-1.25%,UBA,,
2022-05-13,8.0,8.0,8.0,7.9,11.69M,0.00%,UBA,,
2022-05-12,8.0,8.0,8.0,7.95,6.11M,0.00%,UBA,,
2022-05-11,8.0,8.0,8.05,7.95,12.61M,0.00%,UBA,,
2022-05-10,8.0,8.05,8.1,8.0,10.76M,-0.62%,UBA,,
2022-05-09,8.05,8.05,8.05,8.0,8.47M,0.00%,UBA,,
